# COLHEITA — McDonald's Brasil, cardápio publicado em mcdonalds.com.br
#
# Colhido em 21 de setembro de 2026, das páginas de produto do próprio
# site. Cada linha é o que a rede publica na aba "Informação nutricional"
# daquele produto.
#
# ⚠️ OS VALORES SÃO POR PORÇÃO, E NÃO POR 100 g. O McDonald's Brasil
# publica "Por Porção" e NÃO publica o peso da porção — restaurante é
# isento da RDC 429, que obriga isso em alimento embalado. É por causa
# disto que o Alimento ganhou `porUnidade`: sem o peso, não há como
# converter para a base de 100 g que a TACO usa.
#
# ⚠️ E É COLHEITA MANUAL DE PROPÓSITO. O site responde 403 a qualquer
# cliente que não seja um navegador de verdade, então o gerador não busca
# sozinho como o da TACO e o da FNDDS fazem. Para atualizar, abra o site
# num navegador e rode o colhedor descrito em scripts/gerar-fastfood-br.mjs.
#
# colunas: slug, nome, categoria, proteína g, kcal, carboidrato g,
#          gordura g, fibra g, sódio mg, alérgenos declarados
#
quarterao-saja-vibes	Quarterão Saja Vibes	sanduiches-de-carne-bovina	36	666	40	40	3.9	1441	Leite+Soja+Ovo
brabo-smokehouse	Brabo SmokeHouse	sanduiches-de-carne-bovina	61	1211	55	83	4	1895.96	Leite+Soja+Ovo+Glúten
brabo-brabissimo-carne	Brabo Brabissímo Carne	sanduiches-de-carne-bovina	58	1244	51	90	4.4	1759.14	Leite+Soja+Ovo+Glúten
duplo-cheeseburger	Duplo Cheeseburger	sanduiches-de-carne-bovina	25	428	31	22	2	963.38
cheddar-mcmelt	Cheddar McMelt	sanduiches-de-carne-bovina	29	509	33	29	3.2	905.84	Leite+Soja+Ovo+Glúten
duplo-cheddar-mcmelt	Duplo Cheddar McMelt	sanduiches-de-carne-bovina	52	854	36	56	4.7	1482.39	Leite+Soja+Ovo+Glúten
big-mac	Big Mac	sanduiches-de-carne-bovina	26	524	43	27	1.9	928	Leite+Soja+Ovo+Glúten
duplo-quarterao	Duplo Quarterão	sanduiches-de-carne-bovina	52	836	39	52	3.2	1257	Leite+Soja+Ovo+Glúten
quarterao-com-queijo	Quarterão com Queijo	sanduiches-de-carne-bovina	32	566	39	31	2.8	1052.04	Leite+Soja+Ovo+Glúten
mcnifico-bacon	McNífico Bacon	sanduiches-de-carne-bovina	32	595	40	34	4	1101	Leite+Soja+Ovo+Glúten
